bid_id,user_id,truck_id,bid_amount,bid_time
1,8,9,4397425,2024-11-18 23:34:46.750634
2,10,7,2126076,2024-11-21 05:34:46.750644
3,4,10,1269006,2024-12-05 15:34:46.750649
4,18,3,1910135,2024-11-23 20:34:46.750653
5,9,6,4486735,2024-11-26 04:34:46.750657
6,1,6,3165486,2024-12-04 05:34:46.750661
7,19,10,1370548,2024-11-17 14:34:46.750666
8,12,7,4741500,2024-11-12 05:34:46.750671
9,2,6,2545403,2024-11-28 10:34:46.750676
10,17,10,1965696,2024-11-22 07:34:46.750680
11,14,2,4121152,2024-11-24 07:34:46.750684
12,2,3,4404552,2024-11-14 07:34:46.750688
13,20,9,4819273,2024-11-13 03:34:46.750691
14,19,2,3355479,2024-12-04 13:34:46.750695
15,20,8,3570789,2024-12-07 00:34:46.750699
16,12,7,2612367,2024-11-30 15:34:46.750703
17,10,2,2004545,2024-12-01 05:34:46.750707
18,16,10,2479489,2024-11-15 23:34:46.750711
19,14,6,1243977,2024-12-08 13:34:46.750715
20,15,9,3766368,2024-11-13 05:34:46.750719
21,20,5,1860179,2024-11-25 04:34:46.750723
22,19,7,1953237,2024-11-19 17:34:46.750727
23,10,4,2750962,2024-11-27 19:34:46.750731
24,15,2,4042227,2024-12-01 13:34:46.750735
25,17,9,1032487,2024-11-27 16:34:46.750739
26,11,3,1641558,2024-11-23 03:34:46.750743
27,2,1,1775444,2024-11-28 00:34:46.750747
28,12,3,4799620,2024-12-05 09:34:46.750751
29,13,2,2610401,2024-11-18 08:34:46.750755
30,20,8,1829301,2024-11-29 13:34:46.750759
31,16,1,4593620,2024-12-07 12:34:46.750763
32,2,4,3460312,2024-12-09 05:34:46.750766
33,14,9,3096319,2024-11-26 05:34:46.750770
34,20,8,3841124,2024-12-08 21:34:46.750774
35,18,7,1609995,2024-12-03 19:34:46.750778
36,15,1,3585430,2024-11-19 08:34:46.750782
37,1,9,3857542,2024-11-15 19:34:46.750786
38,13,4,3815647,2024-12-08 04:34:46.750790
39,4,1,1210941,2024-11-16 18:34:46.750794
40,5,4,4113390,2024-12-08 04:34:46.750798
41,1,6,2595454,2024-11-30 06:34:46.750801
42,12,7,4258823,2024-11-18 22:34:46.750806
43,14,8,2760470,2024-12-09 07:34:46.750809
44,18,4,4614473,2024-12-08 01:34:46.750813
45,16,4,4436376,2024-12-06 13:34:46.750817
46,9,7,1998480,2024-11-12 06:34:46.750821
47,18,5,1607734,2024-11-30 01:34:46.750825
48,20,3,2489941,2024-12-02 14:34:46.750829
49,16,4,1102490,2024-11-19 03:34:46.750833
50,9,6,4418261,2024-11-28 10:34:46.750837
